ALLSKY_SFC_SW_DWN,RH2M,WS2M,T2M,PRECTOTCORR
0.0,52.46,1.31,9.34,0.0
0.0,55.2,1.32,8.43,0.0
0.0,59.21,1.32,7.36,0.0
0.0,62.21,1.3,6.56,0.0
0.0,64.41,1.29,5.98,0.0
0.0,66.04,1.26,5.55,0.0
0.05,66.24,1.21,5.48,0.0
0.56,59.18,1.26,8.41,0.0
1.24,48.02,1.97,10.97,0.0
1.83,43.53,1.41,13.48,0.0
2.22,34.44,1.39,17.19,0.0
2.02,25.52,1.41,20.36,0.0
1.93,23.71,1.29,21.41,0.0
1.62,23.7,1.21,21.58,0.0
1.12,26.44,1.02,20.99,0.0
0.57,35.98,0.56,19.45,0.0
0.09,31.05,0.5,18.33,0.0
0.0,31.21,0.3,17.54,0.0
0.0,31.99,0.12,16.95,0.0
0.0,33.42,0.35,16.18,0.0
0.0,34.98,0.52,15.3,0.0
0.0,36.58,0.59,14.52,0.0
0.0,37.92,0.7,13.84,0.0
0.0,39.53,0.79,13.08,0.0
0.0,43.46,0.85,11.76,0.0
0.0,45.61,0.97,10.99,0.0
0.0,47.17,1.03,10.4,0.0
0.0,49.62,1.08,9.56,0.0
0.0,53.06,1.14,8.65,0.0
0.0,56.74,1.18,7.75,0.0
0.04,58.39,1.11,7.5,0.0
0.39,59.63,0.78,9.11,0.0
0.87,47.51,1.37,11.32,0.0
1.35,43.73,0.82,13.3,0.0
1.82,36.24,0.73,16.65,0.0
1.79,28.9,0.6,19.9,0.0
1.76,27.07,0.51,20.98,0.0
1.4,26.59,0.43,21.26,0.0
0.99,28.68,0.48,20.75,0.0
0.52,38.19,0.48,19.27,0.0
0.09,37.88,0.69,17.19,0.0
0.0,39.53,0.82,15.76,0.0
0.0,41.21,0.92,14.94,0.0
0.0,41.73,0.98,14.46,0.0
0.0,43.9,0.92,13.57,0.0
0.0,44.5,0.87,13.14,0.0
0.0,44.47,0.79,12.89,0.0
0.0,42.82,0.68,13.13,0.0
0.0,42.65,0.47,13.04,0.0
0.0,44.33,0.43,12.49,0.0
0.0,50.37,0.84,10.82,0.0
0.0,57.9,1.21,9.07,0.0
0.0,65.68,1.28,7.5,0.0
0.0,71.23,1.27,6.53,0.0
0.04,74.18,1.34,6.22,0.0
0.41,64.27,2.13,9.05,0.0
0.97,56.17,2.71,11.49,0.0
1.51,49.87,2.16,14.31,0.0
1.87,40.06,2.6,18.1,0.0
1.78,33.28,2.89,20.72,0.0
1.63,30.8,2.98,21.9,0.0
1.41,30.13,2.97,22.28,0.0
0.96,32.06,2.62,21.86,0.0
0.49,46.85,1.18,19.18,0.0
0.09,51.81,1.26,15.65,0.0
0.0,52.84,1.36,13.97,0.0
0.0,53.92,1.36,13.16,0.0
0.0,54.5,1.35,12.54,0.0
0.0,55.19,1.34,11.91,0.0
0.0,56.58,1.33,11.21,0.0
0.0,59.0,1.32,10.38,0.0
0.0,61.97,1.32,9.52,0.0
0.0,64.36,1.31,8.83,0.0
0.0,66.97,1.29,8.18,0.0
0.0,69.3,1.27,7.58,0.0
0.0,71.01,1.21,7.09,0.0
0.0,72.84,1.18,6.59,0.0
0.0,74.98,1.15,6.11,0.0
0.04,76.28,1.13,5.87,0.0
0.4,64.46,1.94,8.8,0.0
0.98,55.73,2.27,11.31,0.0
1.51,47.71,1.8,14.77,0.0
1.89,34.34,2.48,19.77,0.0
1.92,29.3,2.64,21.62,0.0
1.84,26.85,2.73,22.58,0.0
1.53,25.78,2.73,22.95,0.0
1.1,26.72,2.36,22.53,0.0
0.55,43.44,0.97,20.27,0.0
0.1,42.18,1.05,18.01,0.0
0.0,37.51,0.82,17.92,0.0
0.0,35.33,0.38,18.37,0.0
0.0,36.67,0.44,17.68,0.0
0.0,40.94,0.8,16.18,0.0
0.0,44.23,1.02,15.27,0.0
0.0,46.11,1.06,14.62,0.0
0.0,48.09,1.15,13.51,0.0
0.0,49.82,1.2,12.57,0.0
0.0,54.56,1.18,11.75,0.0
0.0,58.24,1.12,11.14,0.0
0.0,60.74,1.15,10.19,0.0
0.0,64.34,1.22,8.79,0.0
0.0,65.8,1.21,8.5,0.0
0.03,65.09,1.21,8.8,0.0
0.31,56.73,2.01,11.09,0.0
0.72,49.95,2.29,12.83,0.0
1.04,45.27,1.86,15.1,0.0
1.26,34.2,2.79,19.05,0.0
1.62,29.69,2.74,21.14,0.0
1.56,27.84,2.45,22.14,0.0
1.35,27.4,2.2,22.42,0.0
1.0,29.73,1.89,21.97,0.0
0.49,46.22,0.96,19.44,0.0
0.09,49.83,1.21,16.09,0.0
0.0,51.76,1.37,14.25,0.0
0.0,53.22,1.48,13.41,0.0
0.0,54.27,1.58,12.78,0.0
0.0,55.28,1.6,12.19,0.0
0.0,56.45,1.58,11.59,0.0
0.0,57.59,1.56,11.03,0.0
0.0,58.68,1.56,10.52,0.0
0.0,59.2,1.61,10.29,0.0
0.0,60.43,1.65,9.82,0.0
0.0,61.76,1.79,9.26,0.0
0.0,63.44,1.94,8.66,0.0
0.0,64.5,2.09,8.22,0.0
0.0,65.33,2.26,7.87,0.0
0.03,64.94,2.59,7.83,0.0
0.34,58.52,3.6,9.51,0.0
0.81,51.97,3.4,11.81,0.0
1.19,43.49,3.41,15.41,0.0
1.56,35.0,4.36,19.16,0.0
1.37,30.33,4.63,21.76,0.0
1.33,28.92,4.32,22.92,0.03
0.9,29.16,3.73,23.32,0.21
0.64,33.22,2.6,22.87,0.25
0.32,45.01,1.41,20.62,0.18
0.07,48.93,1.58,17.79,0.09
0.0,49.87,1.78,16.12,0.11
0.0,50.36,1.84,15.36,0.05
0.0,52.14,1.78,14.4,0.05
0.0,53.96,1.61,13.73,0.09
0.0,56.04,1.42,13.18,0.16
0.0,58.0,1.21,12.71,0.37
0.0,60.06,1.02,12.24,0.49
0.0,61.38,0.84,11.97,0.07
0.0,61.93,0.69,11.78,0.2
0.0,63.32,0.63,11.3,0.29
